Date,nom_ar,nom_fr,unite,valeur
2025-12-07 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-07 07:00:00,L'humidité du sol,L'humidité du sol,mV,563.9
2025-12-07 05:00:00,L'humidité du sol,L'humidité du sol,mV,564.1
2025-12-07 05:00:00,Température,Température,°c,13.0
2025-12-07 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-07 03:00:00,Température,Température,°c,12.9
2025-12-07 03:00:00,L'humidité du sol,L'humidité du sol,mV,564.1
2025-12-07 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-07 01:00:00,L'humidité du sol,L'humidité du sol,mV,563.8
2025-12-07 01:00:00,Température,Température,°c,12.9
2025-12-07 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-06 23:00:00,L'humidité du sol,L'humidité du sol,mV,563.8
2025-12-06 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-06 23:00:00,Température,Température,°c,12.9
2025-12-06 21:00:00,L'humidité du sol,L'humidité du sol,mV,564.1
2025-12-06 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-06 21:00:00,Température,Température,°c,13.1
2025-12-06 19:00:00,L'humidité du sol,L'humidité du sol,mV,564.5
2025-12-06 19:00:00,Température,Température,°c,13.6
2025-12-06 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-06 17:00:00,Température,Température,°c,14.3
2025-12-06 17:00:00,L'humidité du sol,L'humidité du sol,mV,565.5
2025-12-06 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-06 15:00:00,Température,Température,°c,14.0
2025-12-06 15:00:00,L'humidité du sol,L'humidité du sol,mV,565.4
2025-12-06 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-06 13:00:00,Température,Température,°c,13.0
2025-12-06 13:00:00,L'humidité du sol,L'humidité du sol,mV,564.4
2025-12-06 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-06 11:00:00,L'humidité du sol,L'humidité du sol,mV,563.4
2025-12-06 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-06 11:00:00,Température,Température,°c,11.8
2025-12-06 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-06 09:00:00,L'humidité du sol,L'humidité du sol,mV,562.8
2025-12-06 09:00:00,Température,Température,°c,11.1
2025-12-06 07:00:00,L'humidité du sol,L'humidité du sol,mV,563.0
2025-12-06 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-06 07:00:00,Température,Température,°c,11.2
2025-12-06 05:00:00,L'humidité du sol,L'humidité du sol,mV,563.2
2025-12-06 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-06 05:00:00,Température,Température,°c,11.3
