Date,nom_ar,nom_fr,unite,valeur
2025-12-14 17:00:00,Direction du vent,Direction du vent,Deg,130.8
2025-12-14 17:00:00,Vitesse du vent,Vitesse du vent,m/s,0.78
2025-12-14 15:00:00,Température,Température,°c,18.5
2025-12-14 15:00:00,Vitesse du vent,Vitesse du vent,m/s,2.16
2025-12-14 15:00:00,Direction du vent,Direction du vent,Deg,159.5
2025-12-14 15:00:00,Humidité relative,Humidité relative,%,61.2
2025-12-14 15:00:00,Point de Rosée,Point de Rosée,°c,10.9
2025-12-14 15:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,160.0
2025-12-14 15:00:00,Pression atmosphérique,Pression atmosphérique,hPa,991.4
2025-12-14 15:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 15:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 13:00:00,Vitesse du vent,Vitesse du vent,m/s,3.09
2025-12-14 13:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 13:00:00,Pression atmosphérique,Pression atmosphérique,hPa,992.5
2025-12-14 13:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,468.0
2025-12-14 13:00:00,Point de Rosée,Point de Rosée,°c,11.5
2025-12-14 13:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 13:00:00,Humidité relative,Humidité relative,%,64.7
2025-12-14 13:00:00,Température,Température,°c,18.3
2025-12-14 13:00:00,Direction du vent,Direction du vent,Deg,169.4
2025-12-14 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,557.0
2025-12-14 11:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 11:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 11:00:00,Pression atmosphérique,Pression atmosphérique,hPa,993.5
2025-12-14 11:00:00,Point de Rosée,Point de Rosée,°c,11.4
2025-12-14 11:00:00,Humidité relative,Humidité relative,%,67.0
2025-12-14 11:00:00,Température,Température,°c,17.6
2025-12-14 11:00:00,Direction du vent,Direction du vent,Deg,184.8
2025-12-14 11:00:00,Vitesse du vent,Vitesse du vent,m/s,3.07
2025-12-14 09:00:00,Direction du vent,Direction du vent,Deg,166.0
2025-12-14 09:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 09:00:00,Pression atmosphérique,Pression atmosphérique,hPa,993.7
2025-12-14 09:00:00,Vitesse du vent,Vitesse du vent,m/s,0.94
2025-12-14 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,220.0
2025-12-14 09:00:00,Point de Rosée,Point de Rosée,°c,12.5
2025-12-14 09:00:00,Humidité relative,Humidité relative,%,85.2
2025-12-14 09:00:00,Température,Température,°c,15.0
2025-12-14 07:00:00,Pression atmosphérique,Pression atmosphérique,hPa,993.1
2025-12-14 07:00:00,Direction du vent,Direction du vent,Deg,285.4
2025-12-14 07:00:00,Température,Température,°c,11.8
2025-12-14 07:00:00,Humidité relative,Humidité relative,%,90.9
2025-12-14 07:00:00,Point de Rosée,Point de Rosée,°c,10.3
2025-12-14 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-14 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.34
2025-12-14 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
